Price,District,City,Town,Type,EnergyCertificate,TotalArea,Parking,HasParking,ConstructionYear,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms
364000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Apartment,B-,136.0,1.0,True,2007.0,0,True,0,2.9999999999999996,2.5999999999999996,0.20000000000000207,136.0,2.0
730000.0,Faro,Silves,Armação de Pêra,Apartment,A,185.0,2.0,True,2023.0,0,True,0,2.0,2.1999999999999997,0.20000000000000207,95.0,2.0
220000.0,Faro,Vila Real de Santo António,Vila Real de Santo António,Apartment,B-,80.0,1.0,True,2007.0,0,True,0,2.0,2.0,0.20000000000000207,76.0,1.0
188500.0,Faro,Vila Real de Santo António,Vila Real de Santo António,Apartment,D,70.0,0.0,False,1966.0,0,False,0,2.0,1.0,0.4,67.0,2.0
285000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,NC,59.0,0.0,False,Informação não disponível,0,False,0,1.0,0.6,0.0,59.0,1.0
229000.0,Faro,Portimão,Portimão,Apartment,E,75.0,0.0,False,1988.0,0,True,0,2.0,1.2,0.0,67.0,1.0
360000.0,Faro,Olhão,Olhão,Apartment,C,360.0,0.0,False,2011.0,0,True,0,1.0,1.2,0.0,74.0,2.0
650000.0,Faro,Loulé,Quarteira,Apartment,A,102.0,1.0,True,2019.0,0,True,0,2.0,2.8000000000000003,0.20000000000000207,156.0,2.0
199000.0,Faro,Lagoa (Algarve),Lagoa e Carvoeiro,Apartment,C,104.0,0.0,False,1989.0,0,False,0,2.9999999999999996,2.0,0.19999999999999796,83.0,2.0
400000.0,Faro,Albufeira,Ferreiras,House,A,140.0,2.0,True,2023.0,0,False,0,2.0,2.8000000000000003,0.7999999999999979,140.0,3.0
135000.0,Faro,Alcoutim,Alcoutim e Pereiro,House,NC,58.0,0.0,False,1950.0,0,False,0,1.0,3.1999999999999997,0.0,58.0,1.0
799000.0,Faro,Olhão,Olhão,Apartment,A+,122.0,1.0,True,2022.0,0,True,0,2.0,2.7999999999999994,0.0,122.0,3.0
165000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Apartment,C,58.0,0.0,False,1986.0,0,False,0,1.0,1.2,0.6,61.0,1.0
770000.0,Faro,Loulé,Quarteira,Apartment,A,98.0,1.0,True,2023.0,0,True,0,2.0,2.1999999999999997,1.200000000000002,98.0,3.0
169250.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Apartment,D,60.0,0.0,False,1998.0,0,False,0,1.0,1.0,0.6,60.0,1.0
65000.0,Faro,Castro Marim,Azinhal,House,NC,152.0,1.0,True,1951.0,0,False,0,2.0,2.8000000000000003,1.200000000000002,120.0,1.0
10500.0,Faro,Loulé,Quarteira,Apartment,NC,87.0,0.0,False,2000.0,0,True,0,1.0,1.8,0.7999999999999979,87.0,1.0
305000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,C,84.0,1.0,True,2011.0,0,True,0,2.0,2.6,0.0,118.0,2.0
583000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,196.0,3.0,True,2023.0,0,True,0,2.9999999999999996,3.0,0.0,196.0,1.0
620100.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,232.0,3.0,True,2023.0,0,True,0,2.9999999999999996,2.7999999999999994,0.0,232.0,3.0
